usr,q4_sent,q4_received,q4_access,q4_comments_on_sent,q4_comments_on_received,q4_likes_on_sent,q4_likes_on_received,working_days
AWSUS#g+1gEPBSwUIk7hZDLbgSSg==,0,0,28,0,0,0,0,94
AWSUS#579dFbU/tzRpoYRQCRAjwg==,5,0,9,10,0,20,0,558
AWSUS#OAbO5TqsuAwSwK32XXqRlA==,0,1,30,0,1,0,2,3637
AWSUS#2cyi9CESiSjSIcpUwOqjWg==,0,0,2,0,0,0,0,742
AWSUS#89gnGZ0x1xgtxowZOtPu8g==,0,0,44,0,0,0,0,959
AWSUS#XmSiPdVxbq8BGoUpSZ8Euw==,0,0,14,0,0,0,0,4074
AWSUS#bohobjvCqljuy6TVL45tiQ==,0,0,3,0,0,0,0,476
AWSUS#tAGVp1u1RjM17B8rZNINCQ==,0,0,46,0,0,0,0,50
AWSUS#LRqxKWG6fKoogDdOYa78nA==,0,0,0,0,0,0,0,698
AWSUS#Qqzmr2hsrBjnhozToDMggg==,0,0,19,0,0,0,0,21
AWSUS#YrywdyK8OzB4KRbJSOkMbg==,3,0,60,6,0,9,0,4074
AWSUS#ceRHcQiCS5VB0w1GM0863w==,0,1,73,0,0,0,5,4074
AWSUS#h8pG722FO3JF4GgFV8Kobw==,0,0,33,0,0,0,0,4074
AWSUS#AHJVeEYkjkLVodTph9d5gw==,0,0,0,0,0,0,0,111
AWSUS#sY4qdHhHD2o9KLsjPgmJTA==,0,0,87,0,0,0,0,4074
AWSUS#4AdJpxE9JwJAT016hYma5A==,0,0,44,0,0,0,0,71
AWSUS#hqbbCY8CLCGoTTtZRk3lIw==,0,0,0,0,0,0,0,2473
AWSUS#LoB+JyMzcNmH1fHzPSJUig==,0,0,0,0,0,0,0,2580
AWSUS#AOYf9J4BZ7O2CINaiaXziQ==,0,0,9,0,0,0,0,141
AWSUS#nbeD8SZz9AsEo175BfCenw==,0,0,3,0,0,0,0,3
AWSUS#EAyBoTdkst52HPKhgYARYg==,0,0,31,0,0,0,0,376
AWSUS#VqKynkE942V/R8XUB9dz4g==,0,0,81,0,0,0,0,159
AWSUS#CMZPlfja4PNFXLbxHz/5Gg==,0,0,4,0,0,0,0,869
AWSUS#noGfqL/TAg1WzfRUy/85WQ==,0,0,6,0,0,0,0,321
AWSUS#I6SMZ3gF86tQhsJjcdF7XA==,0,0,0,0,0,0,0,3227
AWSUS#XsHdtIZzHVV06dzEO/DMsQ==,13,0,80,4,0,57,0,344
AWSUS#hdqDpHLdl/5WZmfly099iA==,0,0,377,0,0,0,0,228
AWSUS#82Xrbv7C0u6pVRq+rhDlKQ==,0,0,4,0,0,0,0,3662
AWSUS#fhH7Y1bydr3o/KmL4r3DBg==,0,0,17,0,0,0,0,2906
AWSUS#BxigQdjatJk1w/glj4mrYA==,0,0,2,0,0,0,0,2930
AWSUS#c52vqVIHzLMSafWO9k0z+Q==,0,0,14,0,0,0,0,2866
AWSUS#Y0wZlKPbEUS71Y/WeiPKmw==,0,0,0,0,0,0,0,3130
AWSUS#+rk8Np3303bz42wEwuNLFg==,0,0,0,0,0,0,0,764
AWSUS#UTIt/iOXGSMRXSqU+bgzGA==,0,0,0,0,0,0,0,544
AWSUS#mlkAxxaRwcUho9rZo6UnTw==,0,0,9,0,0,0,0,196
AWSUS#ugioZkOV96+w3VZ4Edilqw==,7,0,66,7,0,28,0,464
AWSUS#g67AVYbZ3AElyj38fKPGbg==,0,0,14,0,0,0,0,31
AWSUS#OWxugj32s93p4mA0jrwTfQ==,0,0,5,0,0,0,0,4074
AWSUS#oKyj5FccUAmmLOP6Tvfa/Q==,0,0,0,0,0,0,0,676
AWSUS#vgDp/3XAOcKM0x7okIe4rA==,0,0,0,0,0,0,0,2493
AWSUS#QwxdosVu1tR6EFEZzsGCCg==,0,0,496,0,0,0,0,916
AWSUS#9FKGB4jRM/Oa5kq5637Mtg==,0,0,0,0,0,0,0,502
AWSUS#K+wQ/qVICLUpVqv8QYCj8g==,0,0,0,0,0,0,0,430
AWSUS#nbHEN1gCNA52PrDbxgK6ow==,0,0,0,0,0,0,0,4
AWSUS#pTGEi3o4nMw9CU0f7jgHtA==,0,0,15,0,0,0,0,1296
AWSUS#bwG4ungHCz8ALlqdCm7gGg==,0,0,0,0,0,0,0,172
AWSUS#I5tHOrh4zNZ7ZbQCf95xoA==,0,7,41,0,1,0,33,4074
AWSUS#tlJI0xPnZ+xYQnMYU2jG5A==,0,0,0,0,0,0,0,2837
AWSUS#gAdrIr50mvea9/zIA0GAgw==,0,0,0,0,0,0,0,262
AWSUS#y1CM9zMowxynb+I206Wp2w==,0,0,107,0,0,0,0,250
AWSUS#ubD2vredFhjpprtA5AGlYA==,0,0,24,0,0,0,0,225
AWSUS#thxu24ECYtUZAbDqRjj1jQ==,22,0,60,66,0,374,0,617
AWSUS#NXA6OOAWnvsNqyPHrbFmlg==,0,0,0,0,0,0,0,2529
AWSUS#RRd9Frz9Yba/Ofg7OUigVQ==,0,0,89,0,0,0,0,85
AWSUS#jaZWO7XEtxbUkUYzXeZefA==,0,0,1,0,0,0,0,4074
AWSUS#kAmd1d3muAwl/k1kiYIiYg==,0,0,0,0,0,0,0,3028
AWSUS#J8TuDKGBN66rTxcXsjJa3w==,0,1,11,0,1,0,3,3655
AWSUS#HweuNTuM9aB+z8ksvoS6kQ==,0,0,0,0,0,0,0,594
AWSUS#oNlF/CAQJaYZ8OpQFsICEA==,0,2,198,0,1,0,5,4074
AWSUS#Xni2E9RqpWAnEEJ/uG6tsw==,0,0,0,0,0,0,0,2853
AWSUS#6NF9/teb50hU02IB7fHwmg==,0,0,14,0,0,0,0,699
AWSUS#9EuBsqrW00rJxMcFjPeeCQ==,0,0,32,0,0,0,0,676
AWSUS#lhdXj1EYND6qCxahf5H5lQ==,0,0,3,0,0,0,0,144
AWSUS#UKJasQtQ5M90Y+XNDxUcxA==,0,0,10,0,0,0,0,350
AWSUS#xqFoELqc/BcWAQhx/GonTQ==,0,0,344,0,0,0,0,525
AWSUS#epLm1fzKg2kSMS4azQYSFA==,0,0,34,0,0,0,0,829
AWSUS#XAJTWn+rZqFVCduEqF/LPQ==,0,0,44,0,0,0,0,155
AWSUS#JSr/pC2Q9jVmF0jrz1CH0g==,0,0,45,0,0,0,0,1029
AWSUS#a15GfcdeNvShF0RmMt4lpw==,0,0,0,0,0,0,0,4074
AWSUS#ZNBFaWeJvYcVqjocPrzvcQ==,0,0,230,0,0,0,0,1013
AWSUS#7Tfca5Fo1dnXiem2XYReNg==,0,0,2,0,0,0,0,1112
AWSUS#EG7dL8tqjb4cHDgy/SRAnA==,0,0,5,0,0,0,0,916
AWSUS#C6WZ0QfdVOPchK99aHi9lA==,0,0,34,0,0,0,0,206
AWSUS#jsfe0rvBz7TR+xQieDFkhA==,0,1,16,0,4,0,3,4074
AWSUS#EsWE2rh+ALEe/EsEosjFpQ==,0,0,34,0,0,0,0,4074
AWSUS#IBnXbEM9nkUPOzn1vYy5Zg==,0,0,0,0,0,0,0,18
AWSUS#q/qxql8uImZGWeozkytbyw==,0,0,297,0,0,0,0,441
AWSUS#ZlhzStw8GRrkUa9i6jaTow==,0,0,20,0,0,0,0,4074
AWSUS#at4mBLDPigUz5FhsshSmgQ==,3,0,20,3,0,6,0,344
AWSUS#h/fDw0TQjm1ib/4MYur+UA==,0,0,5,0,0,0,0,360
AWSUS#bex4faZNyJeGNEMtscwYIQ==,0,0,0,0,0,0,0,262
AWSUS#4R+X8uDr06y1SJYhjxiDng==,0,0,4,0,0,0,0,467
AWSUS#yAd5ABU2pxZS8R19YDDPfA==,0,0,0,0,0,0,0,57
AWSUS#jM+SO5PLPkXcimXHso6dPQ==,0,0,163,0,0,0,0,869
AWSUS#Ctfv8wKvCGUT0tZRCDqI3w==,0,1,93,0,0,0,2,302
AWSUS#+Cixdv+PnAU28d1cWgaC+Q==,0,0,21,0,0,0,0,4074
AWSUS#sdU5UMQSm7wHVvcfklKK9g==,0,0,26,0,0,0,2,4074
AWSUS#4vJuICmna9q7PwMjNieJZw==,0,0,0,0,0,0,0,1317
AWSUS#9gCxXF20Fle+Z0TS/24pMg==,0,0,8,0,0,0,0,3509
AWSUS#CCZJXyi8JcGWYFS1tJLnOg==,0,0,0,0,0,0,0,8
AWSUS#c0BoX893jjBG+H2IV/woPQ==,0,0,19,0,0,0,0,4074
AWSUS#w5NPF6602DtCl0NXr42hjQ==,0,0,4,0,0,0,0,186
AWSUS#23FIP6rBocAr7XaNFXOe7w==,0,0,148,0,0,0,0,97
AWSUS#XQEqhOFWGhIb1NYizK0RtA==,5,0,111,5,0,25,0,68
AWSUS#cH/YK3pC/uPNnj0zqgXPVw==,0,0,4,0,0,0,0,41
AWSUS#ZOVWrMj8PcctrjNIShu+0Q==,0,0,139,0,0,0,0,162
AWSUS#0fVlpSdzIycenS2T1iw6rg==,0,0,0,0,0,0,0,2409
AWSUS#cWoXbqarUvsLTvJ5Zb/9yA==,0,4,107,0,1,3,8,146
AWSUS#xZpbS4CU4aOLvjL+l0ngJg==,0,1,28,0,0,0,5,4074
AWSUS#GDPVipOaa4PZQt9HLsdAzA==,0,0,171,0,0,0,0,1128
AWSUS#sXEsm5GuWOICKbkqtzGgGA==,0,0,0,0,0,0,0,41
AWSUS#ef5+Zj0HV0AYIFBF8uMK1w==,0,3,55,0,0,0,12,1016
AWSUS#QFzOO12VMpgISoE4bpluiA==,0,0,104,0,0,0,0,250
AWSUS#INyAAwiQ2vU/3vo+MkldEg==,0,0,6,0,0,0,0,604
AWSUS#0PF7yOWBtyeEBHiWwxLSfQ==,0,0,9,0,0,0,0,3211
AWSUS#JU/JQ6i7SLGpSKjCMCg1Eg==,0,1,59,0,0,0,5,1099
AWSUS#mvaMfjucjvaLSd8lKXHIng==,0,0,6,0,0,0,0,726
AWSUS#w6pFR8Bmxl09n3A6qZmVGA==,0,0,0,0,0,0,0,467
AWSUS#sNBpylW6QqfyXsqft6d68Q==,0,0,0,0,0,0,0,486
AWSUS#Zk8y43gPqTZJqelYCekWBg==,0,0,0,0,0,0,0,2554
AWSUS#KsqlLh/0e8XpC6F2vlTthg==,0,0,13,0,0,0,0,4074
AWSUS#SQtJZO5nIIdVT73np0fqRw==,0,1,222,0,2,0,2,225
AWSUS#Cv4y7Z49zjf977WYxOkMUg==,32,0,209,12,0,35,0,340
AWSUS#JG+R6IE6dUtIAP7CBN9qlA==,0,0,3,0,0,0,0,2860
AWSUS#iC9Y07oUEABKV7wmZx6c3w==,0,1,31,0,2,0,2,4074
AWSUS#9iEEJvuTj0/8xjASFu/rCw==,0,0,6,0,0,0,0,2763
AWSUS#ndIZAy+gDaj3GnyeT8w4rw==,0,0,8,0,0,0,0,166
AWSUS#Fs0d4Cof3EqyZVQIVws4ag==,0,0,121,0,0,0,0,405
AWSUS#Q8dJeOaGyjQiuh1NdSndJQ==,0,0,0,0,0,0,0,3367
AWSUS#KP9tT6pB652cxzvkAAPv5g==,4,0,154,0,0,0,0,159
AWSUS#Q7P0Ay6o5LzSXSTRjp0GCQ==,0,0,115,0,0,0,0,4074
AWSUS#h0YZvZLKCHgDdo4dLs/wkQ==,0,0,0,0,0,0,0,559
AWSUS#H7dW6mK9P5bVitxlCpycGQ==,0,0,3,0,0,0,0,1317
AWSUS#EGCpZm7wRkWpFsxUHZ7DLg==,0,0,0,0,0,0,0,2453
AWSUS#X0ON8Os2x0phCFLNYvf+Tw==,0,2,48,0,0,0,3,4074
AWSUS#5PuGiexjR9ogKm79qCsrqw==,0,1,65,0,0,0,2,4074
AWSUS#07eZXP4cEdGEEdLko4+CGA==,0,0,19,0,0,0,0,853
AWSUS#bN2l7dR2uVEcx26WBcOZoA==,0,0,0,0,0,0,0,155
AWSUS#D5CIabyLe8TQ+ypzR6kGEQ==,0,0,23,0,0,0,0,249
AWSUS#wkXyVHAfujKquTDF86cdyQ==,0,0,9,0,0,0,0,3094
AWSUS#pmi1y9lJhGvFvej9Ku7uNA==,20,3,40,0,2,108,8,420
AWSUS#DC4+0kt92eWq0lrO+wE3hQ==,0,0,0,0,0,0,0,113
AWSUS#PKCHMErlmE2V/tBBADcmbQ==,0,0,10,0,0,0,0,36
AWSUS#brAvZNeA9SEzmCncN/UrAw==,0,0,3,0,0,0,0,69
AWSUS#NXoGsI4e72BJfdNTkLNBHQ==,0,0,156,0,0,0,1,1057
AWSUS#WQ8+gAwvlv+r0/mGqXnOAA==,3,1,15,0,0,0,2,395
AWSUS#Qj2rsnX0V+KlwEH5LQ+n4g==,0,0,156,0,0,0,0,244
AWSUS#wBfTRgxHsocE8mUOgBOh7A==,0,0,5,0,0,0,0,465
AWSUS#NnbMEjACIBr782coNEO7GQ==,0,0,0,0,0,0,0,2501
AWSUS#+EThRVToK+X1qQaM6GqETw==,0,0,130,0,0,0,0,448
AWSUS#6rfYzJ2gsi28GuSbf11WVA==,0,1,4,0,0,0,0,3572
AWSUS#AerJBv+YA7rZpj3IWV8iIA==,0,0,34,0,0,0,0,225
AWSUS#760MaV1kPkmJxxnTVMx3ow==,0,0,0,0,0,4,0,445
AWSUS#WITlr6ZyCDrEOwrwpHbiaw==,0,0,15,0,0,0,0,238
AWSUS#wcXC07xEqgt5li83yJuSvQ==,0,0,7,0,0,0,0,52
AWSUS#G2F3vCZee6a1mtsAYIhzYA==,4,0,450,4,0,8,0,4074
AWSUS#L9K4XomepjP69Y+BXMBB+w==,0,0,2,0,0,0,0,180
AWSUS#KhblH69tf3aupSWK5/ulNA==,0,0,3,0,0,0,0,230
AWSUS#mahJET2PeN7cwzh77dt+vA==,0,0,0,0,0,0,0,2518
AWSUS#3RXXu+0D0GDfhwdibf7VYA==,0,0,1,0,0,0,0,225
AWSUS#E8fgJDP/WKtdlio/3pWupQ==,0,0,33,0,0,0,0,105
AWSUS#qv+3iAYEJtAO0eNnVGlJ6g==,0,0,3,0,0,0,0,454
AWSUS#S3kDpvK+jmTRjr7wfhe7YQ==,0,0,180,0,0,0,0,57
AWSUS#fqBlO3i825Rceuwz86WGyQ==,0,0,5,0,0,0,0,269
AWSUS#Uoyxpubm3F0wFpzKb0VaTQ==,0,0,0,0,0,0,0,39
AWSUS#EQAAQDmUhk3XO80H7Dk9mQ==,0,0,2,0,0,0,0,3000
AWSUS#GBgQf9qQTNer/W9R2PyS0g==,0,0,0,0,0,0,0,1
AWSUS#Lx30FUqMiUayrUJ8nB+G1g==,0,0,13,0,0,0,0,21
AWSUS#rFZ6Jq6c+1V5JJsQDQJjnQ==,9,0,190,27,0,36,0,643
AWSUS#5qdGPdQobv3al5z6mEvG9g==,0,0,23,0,0,0,0,502
AWSUS#o5KOY6GMdEy0W3XPVxhHQw==,3,2,4,0,0,6,8,159
AWSUS#LzMrZjYRTu853SljPqRzxA==,0,0,8,0,0,0,0,708
AWSUS#yLEKdwyLAEGuoMSM/irzYg==,0,0,0,0,0,0,0,1
AWSUS#JhKhF8Ui1zvcfWPR2V9jZA==,0,0,3,0,0,0,0,7
AWSUS#GQ83CTzAf6hx4Geozj8erQ==,0,0,0,0,0,0,0,4074
AWSUS#jg2d3XV5JSpYzOeYHE9Upw==,0,0,9,0,0,0,0,3375
AWSUS#i8GCg4SL046BBHuWEuTaNA==,0,1,75,0,0,0,5,4074
AWSUS#72YWKQbLqmlmt3qwZpqS1A==,0,0,0,0,0,0,0,2505
AWSUS#1uSXLlU6TpJf2qIVTtfbnQ==,3,0,699,3,0,3,0,330
AWSUS#7Cs+jiC7topLFuK2wNgEUA==,0,0,27,0,0,0,0,13
AWSUS#z52a1z98iCn/2n9iDTlxhA==,0,0,0,0,0,0,0,2803
AWSUS#Tf0X9vIeqJw3dNMmR995cg==,0,0,80,0,0,0,0,603
AWSUS#zrQ/wANmlcoh4dEnMEJ39A==,0,0,281,0,0,0,0,259
AWSUS#fXVQV7RwVVd6vX6FN7alrA==,0,0,98,0,0,0,0,715
AWSUS#W3ZOaqjmlOV/MF4DzNkF2w==,0,0,82,0,0,0,0,195
AWSUS#rkfdjokH0g5yNKrc/Ylzeg==,0,1,31,0,3,0,2,442
AWSUS#cFHHyhZ+5I1WtXnsDvLW/g==,0,0,0,0,0,0,0,145
AWSUS#VcYEMbtYk8Qs79udN+POzw==,0,0,0,0,0,0,0,2421
AWSUS#xuN7UFgm+AXHmgN63hZVIA==,0,0,107,0,0,0,0,203
AWSUS#rBVTk3F7o5un+vwlZvjAtw==,0,0,0,0,0,0,0,2
AWSUS#5+39UlA+AnjzsLuEojrEnA==,0,0,77,0,0,0,0,28
AWSUS#VIgRr9Ee3PESfdrBL+jDEQ==,0,1,5,0,0,0,3,368
AWSUS#OfumhbofYjZjuRhO3IUgkw==,0,0,0,0,0,0,0,80
AWSUS#7/gnKUdbtciWjVxjIu05vQ==,0,0,2,0,0,0,0,2787
AWSUS#/2PuYJhIRTLtuXqhdR44dw==,0,0,22,0,0,0,0,195
AWSUS#RHzeo0OpZrIsdmebTAZZ7A==,0,0,538,0,0,0,0,664
AWSUS#sJEgTrkQScZV7aynLBe3DQ==,0,0,0,0,0,0,0,2858
AWSUS#li/N388tJgSHHKMNLOtoPQ==,0,0,10,0,0,0,0,7
AWSUS#Uem1SgxbdmqIhX0/ilcu1g==,0,1,77,0,1,0,4,4074
AWSUS#JZeN8o47yF9blSiOa88IhQ==,0,0,37,0,0,0,0,100
AWSUS#8pJhJDVVxkeki3KpyHFlxA==,0,0,4,0,0,0,0,85
AWSUS#6aKuHsqkwpft2mqA7k7wTQ==,0,1,7,0,0,0,1,958
AWSUS#Mdsa5RU8TnfkQSgz0qZ6OQ==,0,0,0,0,0,0,0,2470
AWSUS#HQB6YDHzYo1rWIOhXTNbNg==,0,0,0,0,0,0,0,104
AWSUS#QPEXRSFYuhWtXoCUT9YVAA==,0,0,2,0,0,0,0,2597
AWSUS#mCMbkxCPH5pRjQlwJi9x1g==,0,0,276,0,0,0,0,376
AWSUS#hN7LkGB6nHxxcmNyaTNydQ==,0,0,0,0,0,0,0,53
AWSUS#F5/AMzJKdCUmIFWo0DmHgA==,0,0,5,0,0,0,0,98
AWSUS#QB/KyykCgXByV3ltFW+/mw==,0,0,18,0,0,0,0,448
AWSUS#IeXpLfbZbvFwG9LPIo9Fbg==,0,0,7,0,0,0,0,176
AWSUS#vSKjSrUyNSO+GFf98uqyvw==,0,1,3,0,0,0,0,3704
AWSUS#5NIWqD7NYquIMFd+7PoNXw==,0,0,0,0,0,0,0,2
AWSUS#4nbVQi2xVkUr0zBB+DsxEQ==,0,0,0,0,0,0,0,2435
AWSUS#spNs/a2XNrpU2zGnE16IPA==,0,0,35,0,0,0,0,806
AWSUS#br6LZ68pd4DAK+/zJxl2Pg==,0,0,3,0,0,0,0,64
AWSUS#HfuEDJb/vPEZmBO/5Ruo5g==,3,0,20,0,0,0,0,145
AWSUS#GLGApyM5MbCws0zicmymxQ==,0,0,9,0,0,0,0,3033
AWSUS#jomUld7nfFHSqcAHY0n4Lw==,0,0,4,0,0,0,0,292
AWSUS#ihdM0ZzLy5o2J20vsskPMg==,10,0,802,10,0,94,0,421
AWSUS#udq4FX29MpWyEGbcFkbzqw==,0,0,29,0,0,0,0,374
AWSUS#PwW8aOoQIl9K4F6ktLvOkw==,0,0,87,0,0,0,0,733
AWSUS#TwEnekILMNZ0oTQiDXPd/g==,0,0,0,0,0,0,0,2423
AWSUS#rkLq0pfWxCdDJ9l+cN8ZOg==,0,0,15,0,0,0,0,45
AWSUS#9aXQe4ZboCrR35MO7VMkYA==,0,0,14,0,0,0,0,3171
AWSUS#4UrxkKpLVIE7feriqsVvFQ==,0,0,632,0,0,0,0,116
AWSUS#a2w3pQ8qz1Us4WzP4vk2jA==,0,1,29,0,0,0,1,3363
AWSUS#wlyV0ea31CwSUt/D13D4BQ==,0,0,0,0,0,0,0,51
AWSUS#qP/mabI0num4zCmBrBr1Xw==,0,0,26,0,0,0,0,331
AWSUS#umAx8D96rORqgoXpj756jQ==,0,8,248,0,4,0,13,418
AWSUS#Rs4nRxbQfOB5/Ue0/ZOYnw==,0,0,0,0,0,0,0,4074
AWSUS#1zlY0VzrG5FnWJ2ujZzeCg==,0,0,12,0,0,0,0,93
AWSUS#I97mJJpGfTNSTIgjfZ+BIA==,0,0,9,0,0,0,0,321
AWSUS#ITCZGbYWyoPCDTgGfnrSag==,0,0,1,0,0,0,0,339
AWSUS#lI9tQbHOZfDYXtKO3I/+uQ==,0,0,0,0,0,0,0,758
AWSUS#ptfy23Huj55PLLpG8dlFkw==,0,0,0,0,0,0,0,122
AWSUS#tvQ6Dp1pGOzNoenxL3d2RA==,0,0,0,0,0,0,0,3007
AWSUS#8mmBX5ycGdtpSj0rC9SoSg==,0,0,0,0,0,0,0,476
AWSUS#LNxk7IJfUmWzTaixzcERGg==,0,0,297,0,0,0,0,168
AWSUS#hs1WHq0FG+wD5osSGaoldw==,18,1,936,11,1,75,3,687
AWSUS#pOBVdoKitExTkIUmdB1wDw==,0,0,1,0,0,0,0,83
AWSUS#tIkAsF/Ktx/q72dSR70HxA==,0,0,91,0,0,0,0,988
AWSUS#oAaxbsKWIqpNzZ+ujtt06g==,0,0,5,0,0,0,0,3152
AWSUS#VhoUgRg3oat1vrhXVUUC/w==,0,0,0,0,0,0,0,416
AWSUS#tesjMAhdpHuDG0o4AHT96A==,0,0,0,0,0,0,0,2423
AWSUS#TT/LE8gdfqxR1tptnux1iw==,0,0,0,0,0,0,0,2656
AWSUS#W2o1Ig/OJTa8CXHbJfRw/A==,0,0,1,0,0,0,0,136
AWSUS#jLhdsAaHgd+tulr3xrAH+Q==,0,0,8,0,0,0,0,3096
AWSUS#5uDzhkhAE0FSogAa9krksg==,0,0,0,0,0,0,0,138
AWSUS#yzCEZLJtw4P3e440pyDVkg==,0,0,17,0,0,0,0,390
AWSUS#QtpdgXKGElPtsJEJ12yQfg==,0,0,85,0,0,0,0,104
AWSUS#UHaSeB+ijku13iIo0tDGhA==,0,0,8,0,0,0,0,4074
AWSUS#GzP346wYP1w9nBWku5ACuA==,0,0,0,0,0,0,0,1289
AWSUS#1XGKIbZGdt/x/ugoZE5UyA==,0,0,0,0,0,0,0,78
AWSUS#Lxgmrnley/IeZLJxBFlgYg==,0,0,9,0,0,0,0,2666
AWSUS#ljzZ/6zfK+385Y/IZC8YZw==,0,0,5,0,0,0,0,488
AWSUS#yDU2NabcA9bItxmWZG042w==,0,0,3,0,0,0,0,2909
AWSUS#xWlZEkIk3NAUE8uouxApYA==,0,0,21,0,0,0,0,737
AWSUS#aiuaYPJJvgdKOkSp3ynGqQ==,0,0,1,0,0,0,0,244
AWSUS#sC2F+7AWM37E/5nzfQV7MQ==,0,0,42,0,0,0,0,1260
AWSUS#LshMSEfnlg8eUwX/Rk2OFw==,6,0,77,3,0,12,0,448
AWSUS#peAg/5/YejRN6a+b7dlGog==,0,0,42,0,0,0,0,286
AWSUS#O+zdI0Q4eTCq1knsmKevRw==,0,0,2,0,0,0,0,398
AWSUS#GOdjeInq1jRLY79bXzdPsw==,0,0,0,0,0,0,0,2878
AWSUS#840tpjViu8VSJwa+BOGErQ==,0,0,18,0,0,0,0,2851
AWSUS#z38wSGVgwuqjUgvwFRgM0g==,0,2,31,0,3,0,6,4074
AWSUS#vmJEUf3J9IzkASuVlRJg9w==,6,0,59,0,0,36,0,281
AWSUS#9vKPP4Z54YoJybOlP5fA+Q==,0,0,0,0,0,0,0,3151
AWSUS#Ofp+5r1yCbp6KRJsYy18oQ==,0,0,0,0,0,0,0,604
AWSUS#DNMtjDb2+Dty82isIX5+Tg==,0,0,0,0,0,0,0,224
AWSUS#MJDnW09cT4m9c1tyKOS6Gg==,0,0,791,0,0,0,0,532
AWSUS#kdsHmPj9ksBaZZr95U4LsA==,12,0,466,4,0,36,0,183
AWSUS#hv2uWlDNqT/xht60y3iRTw==,0,0,1,0,0,0,0,440
AWSUS#TcxCl5zAI9rMNIHh4a92Cg==,0,0,143,0,0,0,0,636
AWSUS#Eeb6dkBfGHZQmBFe4yx2ig==,0,0,10,0,0,0,0,200
AWSUS#BVEXjVg9Uw9hc0MM6obicg==,0,0,16,0,0,0,0,8
AWSUS#q+8R13ZXtl6GHYa1pPzGfA==,0,0,0,0,0,0,0,825
AWSUS#0muzFAEjBkYhgZGOVkSxsg==,0,0,0,0,0,0,0,181
AWSUS#bwf8UUaPItb20mz7pixxnA==,0,4,80,0,0,0,14,4074
AWSUS#flH9dInT46mmSzIyDwi5MA==,0,0,1,0,0,0,0,245
AWSUS#X/g/K/60RpUNn3EByn2SKQ==,0,0,9,0,0,0,0,3344
AWSUS#+NA4OwAEy4CnKGKyssIoAQ==,0,0,16,0,0,0,0,150
AWSUS#6v/7OYGsc4lOcmlnpIMcXw==,0,0,3,0,0,0,0,573
AWSUS#2x4ty6/MCzSh0O9oToHokw==,0,0,10,0,0,0,0,52
AWSUS#hx5ccOr2ysgRJfaM+28blQ==,0,0,9,0,0,0,0,344
AWSUS#cXxL9zcR4NSZ1FyMQVPzrw==,0,0,0,0,0,0,0,3523
AWSUS#TPhkz4LEJItJ9Lvq6ByO3A==,0,0,0,0,0,0,0,356
AWSUS#f/1jRV/Lr0U+p1dhT3CRyQ==,0,0,0,0,0,0,0,78
AWSUS#9s0lGCX4gjEjgVtiN3roDA==,3,0,22,0,0,0,0,223
AWSUS#Qj+dfjm7wKkrc06kqvI+hA==,0,0,0,0,0,0,0,475
AWSUS#iXflsoezYLBi6KuRDE3d4Q==,0,0,0,0,0,0,0,986
AWSUS#cxm37ezhwKE57FAh/P1iKA==,0,0,14,0,0,0,0,261
AWSUS#R1Tetaw0NQQG6iPMSGdjUQ==,0,0,69,0,0,0,0,41
AWSUS#498sPDsR2f3TI5bb59Ksyg==,6,0,62,0,0,30,0,225
AWSUS#EtboGhaK1S++kxO/cBeLdg==,0,0,175,0,0,0,0,4074
AWSUS#5A1SpGpUQOJUMjNzSr62Hg==,0,0,26,0,0,0,0,218
AWSUS#L9cKi/SberwVbmMwUoaR8A==,4,1,187,12,1,16,2,897
AWSUS#oeBsvIk9hstEYvxr8a5hVQ==,0,0,0,0,0,0,0,2477
AWSUS#R/Ay0QUo42tdWRvJroiHcw==,0,0,0,0,0,0,0,2404
AWSUS#EBnIclwzEwGV1Scq/wlz9Q==,0,0,0,0,0,0,0,3
AWSUS#7lH0OXE7Kl6WcyPDuuUA3Q==,5,8,70,5,0,15,28,4074
AWSUS#Ow+VkD5TQfkbIYpLqcWNJg==,0,1,7,0,0,0,3,4074
AWSUS#niCbJXsT7ZzU8cuDF4JQ8w==,0,0,63,0,0,0,0,1000
AWSUS#W7tP05KahFVMNp2/sUR9BQ==,0,0,0,0,0,0,0,3399
AWSUS#Lf/7CNZXPFGDYjrrjskkDQ==,0,1,16,0,1,0,14,4074
AWSUS#0g8Ua+UlrTwqOvbUUTCe0w==,0,0,0,0,0,0,0,8
AWSUS#nEPMRYCyQRb+s9/s7hxXCg==,0,0,0,0,0,0,0,2444
AWSUS#Me350Oi6LsloNeVTEgDP+A==,0,0,0,0,0,0,0,2405
AWSUS#/LGUHfDFV/SfKjAO1ag3Zg==,0,0,0,0,0,0,0,657
AWSUS#AmytEAS0gjB+BdhEWjbr7w==,0,0,30,0,0,0,0,282
AWSUS#6d9lEKFFvn9oyS4wPTi8IA==,0,1,2,0,0,0,0,108
AWSUS#+/aRfuVnE7pu0VlRjs3BwQ==,0,0,0,0,0,0,0,4074
AWSUS#s73dyjqmiDupoYTTmWZDmg==,0,0,7,0,0,0,0,398
AWSUS#DfELM0iOrvYuyKyLPM0Wkg==,3,0,141,0,0,3,1,4074
AWSUS#Z53gVTmkrJY3NWgegnwIdQ==,0,0,15,0,0,0,0,43
AWSUS#Xm5d80b73UHBhkJVRKvYQw==,0,0,1,0,0,0,0,3948
